ID;track_name;track_musical_genre;track_type;duration_ms;feature;track_videoclip;videoclip_views;spotify_streams;spotify_global_peak;album;track_number;album_musical_genre;album_type;release_date;album_physical_sales;track_lyrics;track_theme;uri;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence
81;High Infidelity;Synth Pop;Special Deluxe;231475;No;No;0;148.303.282;30;Midnights (The Til Dawn Edition);17;Pop;Compilation/Deluxe;26/5/2023;270.000;Lock broken, slur spoken Wound open, game token I didn't know you were keeping count Rain soaking, blind hoping You said I was freeloading I didn't know you were keeping count [Chorus] High infidelity Put on your records and regret me I bent the truth too far tonight I was dancing around, dancing around it High infidelity Put on your headphones and burn my city Your picket fence is sharp as knives I was dancing around, dancing around it [Refrain] Do you really wanna know where I was April 29th? Do I really have to chart the constellations in his eyes? [Verse 2] Storm coming, good husband Bad omen Dragged my feet right down the aisle At the house lonely, good money I'd pay if you'd just know me Seemed like the right thing at the time [Refrain] You know there's many different ways that you can kill the one you love The slowest way is never loving them enough Do you really wanna know where I was April 29th? Do I really have to tell you how he brought me back to life? [Chorus] High infidelity Put on your records and regret me I bent the truth too far tonight I was dancing around, dancing around it High infidelity Put on your headphones and burn my city Your picket fence is sharp as knives I was dancing around, dancing around it [Refrain] Do you really want to know where I was April 29th? Do I really have to chart the constellations in his eyes? You know there's many different ways that you can kill the one you love The slowest way is never loving them enough [Chorus] High infidelity Put on your records and regret meeting me I bent the truth too far tonight I was dancing around, dancing around it High infidelity Put on your headphones and burn my city Your picket fence is sharp as knives I was dancing around, dancing around it [Non-Lyrical Break] [Post-Chorus] Oh, there's many different ways that you can kill the one you love And it's never enough, it's never enough [Outro] Lock broken, slur spoken Wound open, game token I didn't know you were keeping count Rain soaking, blind hoping You said I was freeloading I didn't know you were keeping count But, oh, you were keeping count;Betrayal/Anger;spotify:track:1SztNGCwEHJEVFx90E5g7D;0.726;0.564;0.545;0.0;0.0878;-10.17;0.104;176.082;0.766
82;Glitch;Electropop;Special Deluxe;148781;No;No;0;118.355.491;34;Midnights (The Til Dawn Edition);18;Pop;Compilation/Deluxe;26/5/2023;270.000;We were supposed to be just friends You don't live in my part of town, but maybe I'll see you out some weekend Depending on what kind of mood and situationship I'm in And what's in my system [Chorus] I think there's been a glitch, oh, yeah Five seconds later, I'm fastening myself to you with a stitch, oh, yeah And I'm not even sorry, nights are so starry Blood moonlit It must be counterfeit I think there's been a glitch, oh, yeah [Verse 2] I was supposed to sweat you out In search of glorious happenings of happenstance on someone else's playground But it's been two-thousand one-hundred ninety days of our love blackout (Our love is blacking out) The system's breaking down (The system's breaking down) [Chorus] I think there's been a glitch, oh, yeah Five seconds later, I'm fastening myself to you with a stitch, oh, yeah And I'm not even sorry, nights are so starry Blood moonlit It must be counterfeit I think there's been a glitch [Bridge] A brief interruption, a slight malfunction I'd go back to wanting dudes who give nothing I thought we had no chance And that's romance, let's dance [Chorus] Glitch, oh, yeah Five seconds later, I'm fastening myself to you with a stitch, oh, yeah And I'm not even sorry, nights are so starry Blood moonlit It must be counterfeit (It must be counterfeit) I think there's been a glitch;Complicated love/Looking for love;spotify:track:7C0w28EsX0Um2FrZs9gso2;0.318;0.677;0.451;0.0;0.11;-9.744;0.19;140.845;0.399
83;Would've, Could've, Should've;Synth Pop;Special Deluxe;260361;No;No;0;257.804.372;21;Midnights (The Til Dawn Edition);19;Pop;Compilation/Deluxe;26/5/2023;270.000;If you would've blinked, then I would've Looked away at the first glance If you tasted poison, you could've Spit me out at the first chance And if I was some paint, did it splatter On a promising grown man? And if I was a child, did it matter If you got to wash your hands? [Pre-Chorus] Ooh, all I used to do was pray Would've, could've, should've If you'd never looked my way [Chorus] I would've stayed on my knees And I damn sure never would've danced with the devil At nineteen And the God's honest truth is that the pain was heaven And now that I'm grown, I'm scared of ghosts Memories feel like weapons And now that I know, I wish you'd left me wondering [Verse 2] If you never touched me, I would've Gone along with the righteous If I never blushed, then they could've Never whispered about this And if you never saved me from boredom I could've gone on as I was But, Lord, you made me feel important And then you tried to erase us [Pre-Chorus] Ooh, you're a crisis of my faith Would've, could've, should've If I'd only played it safe [Chorus] I would've stayed on my knees And I damn sure never would've danced with the devil At nineteen And the God's honest truth is that the pain was heaven And now that I'm grown, I'm scared of ghosts Memories feel like weapons And now that I know, I wish you'd left me wondering [Bridge] God rest my soul I miss who I used to be The tomb won't close Stained glass windows in my mind I regret you all the time I can't let this go I fight with you in my sleep The wound won't close I keep on waiting for a sign I regret you all the time [Verse 3] If clarity's in death, then why won't this die? Years of tearing down our banners, you and I Living for the thrill of hitting you where it hurts Give me back my girlhood, it was mine first [Chorus] And I damn sure never would've danced with the devil At nineteen And the God's honest truth is that the pain was heaven And now that I'm grown, I'm scared of ghosts Memories feel like weapons And now that I know, I wish you'd left me wondering [Outro] God rest my soul I miss who I used to be The tomb won't close Stained glass windows in my mind I regret you all the time I can't let this go I fight with you in my sleep The wound won't close I keep on waiting for a sign I regret you all the time Oh, God rest my soul I miss who I used to be The tomb won't close Stained glass windows in my mind I regret you all the time I can't let this go I fight with you in my sleep The wound won't close I keep on waiting for a sign I regret you all the time;Betrayal/Anger;spotify:track:4txojlesMFQZGWxwz2EeqB;0.435;0.482;0.837;0.00147;0.123;-6.501;0.12;157.96;0.534
84;Dear Reader;Synth Pop;Special Deluxe;225194;No;No;0;123.378.107;37;Midnights (The Til Dawn Edition);20;Pop;Compilation/Deluxe;26/5/2023;270.000;Dear reader, if it feels like a trap You're already in one Dear reader, get out your map Pick somewhere and just run Dear reader, burn all the files Desert all your past lives And if you don't recognize yourself That means you did it right [Chorus] Never take advice from someone who's falling apart Never take advice from someone who's falling apart (You should find another) [Verse 2] Dear reader, bend when you can Snap when you have to Dear reader, you don't have to answer Just 'cause they asked you (You should find another) Dear reader, the greatest of luxuries is your secrets Dear reader, when you aim at the devil Make sure you don't miss [Chorus] Never take advice from someone who's falling apart Never take advice from someone who's falling apart [Bridge] So I wander through these nights I prefer hiding in plain sight My fourth drink in my hand These desperate prayers of a cursed man Spilling out to you for free But darling, darling, please You wouldn't take my word for it if you knew who was talking If you knew where I was walking To a house, not a home, all alone 'cause nobody's there Where I pace in my pen and my friends found friends who care No one sees when you lose when you're playing solitaire [Outro] You should find another guiding light, guiding light But I shine so bright You should find another guiding light, guiding light But I shine so bright You should find another, you should find another (Guiding light) Find another, you should find another You should find another;Friendship;spotify:track:10GRRCR5fctuOF4GFmATJI;0.497;0.475;0.386;0.00104;0.119;-12.038;0.0737;107.601;0.162
85;Hits Different;Electropop;Special Deluxe;234466;No;No;0;177.054.741;8;Midnights (The Til Dawn Edition);21;Pop;Compilation/Deluxe;26/5/2023;270.000;I washed my hands of us at the club You made a mess of me I pictured you with other girls in love Then threw up on the street Like waiting for a bus that never shows You just start walkin' on They say that if it's right, you know Each bar plays our song Nothing has ever felt so wrong [Chorus] Oh, my, love is a lie Shit my friends say to get me by It hits different It hits different this time Catastrophic blues Movin' on was always easy for me to do It hits different It hits different 'cause it's you [Post-Chorus] ('Cause it's you) [Verse 2] I used to switch out these Kens, I'd just ghost Rip the band-aid off and skip town lik? an asshole outlaw Freedom felt like summ?r then on the coast Now the sun burns my heart and the sand hurts my feelings And I never don't cry (And I never don't cry) at the bar Yeah, my sadness is contagious (My sadness is contagious) I slur your name 'til someone puts me in a car I stopped receiving invitations [Chorus] Oh, my, love is a lie Shit my friends say to get me by It hits different It hits different this time Catastrophic blues Movin' on was always easy for me to do It hits different It hits different 'cause it's you [Post-Chorus] ('Cause it's you) [Bridge] I find the artifacts, cried over a hat Cursed the space that I needed I trace the evidence, make it make some sense Why the wound is still bleedin' You were the one that I loved Don't need another metaphor, it's simple enough A wrinkle in time like the crease by your eyes This is why they shouldn't kill off the main guy Dreams of your hair and your stare and sense of belief In the good in the world, you once believed in me And I felt you and I held you for a while Bet I could still melt your world Argumentative, antithetical dream girl [Verse 3] I heard your key turn in the door down the hallway Is that your key in the door? Is it okay? Is it you? Or have they come to take me away? To take me away [Chorus] Oh, my, love is a lie Shit my friends say to get me by It hits different (It hits different) It hits different this time Catastrophic blues Movin' on was always easy for me to do It hits different (It hits different) It hits different 'cause it's you [Outro] Oh, my, love is a lie Shit my friends say to get me by 'Cause it's you Catastrophic blues Movin' on was always easy for me to do It hits different (Yeah) It hits different 'cause it's you;Insecurities;spotify:track:3xYJScVfxByb61dYHTwiby;0.148;0.672;0.782;4.73e-06;0.296;-6.499;0.0421;106.026;0.239
86;Snow On The Beach (feat. More Lana Del Rey);Synth Pop;Special Deluxe;229942;Lana del Rey;No;0;172.680.008;6;Midnights (The Til Dawn Edition);22;Pop;Compilation/Deluxe;26/5/2023;270.000;One night, a few Moons ago I saw flecks of what could've been lights But it might just have been you Passing by unbeknownst to me Life is emotionally abusive And time can't stop me quite like you did And my flight was awful, thanks for asking I'm unglued, thanks to you And it's like snow at the beach Weird, but fucking beautiful Flying in a dream Stars by the pocketful You wanting me Tonight feels impossible But it's coming down No sound, it's all around Like snow on the beach Like snow on the beach Like snow on the beach Like snow, ah This scene feels like what I once saw on a screen I searched: Aurora borealis green I've never seen someone lit from within Blurring out my periphery My smile is like I won a contest And to hide that would be so dishonest And it's fine to fake it till you make it Till you do, till it's true Now it's like snow at the beach Weird, but fucking beautiful Flying in a dream Stars by the pocketful You wanting me Tonight feels impossible But it's coming down No sound, it's all around  like snow on the beach Like snow on the beach Like snow on the beach Like snow, ah I (I) can't (can't) speak, afraid to jinx it I (I) don't (don't) even dare to wish it But your eyes are flying saucers from another planet Now I'm all for you like Janet Can this be a real thing? Can it? Are we falling like snow at the beach? (Snow at the beach) Weird, but fucking beautiful Flying in a dream (flying in a dream) Stars by the pocketful You wanting me (you wanting me) Tonight feels impossible But it's coming down No sound, it's all around Like snow on the beach (snow on the beach) Like snow on the beach (snow on the beach) Like snow on the beach (snow on the beach) Like snow, ah It's coming down No sound, it's all around Like snow on the beach Like snow, like snow, ah;Fall in love;spotify:track:4zmKGsrXjLmljb5fTaBTot;0.806;0.664;0.401;3.5e-06;0.108;-10.934;0.0344;109.846;0.315
87;Karma (feat. Ice Spice);Dance Pop;Single;201493;Ice Spice;Yes;58.428.792;86.528.064;5;Midnights (The Til Dawn Edition);23;Pop;Compilation/Deluxe;26/5/2023;270.000;Karma is that girl, like (grrah) You're talkin' shit for the hell of it Addicted to betrayal, but you're relevant You're terrified to look down 'Cause if you dare, you'll see the glare Of everyone you burned just to get there It's coming back around And I keep my side of the street clean You wouldn't know what I mean 'Cause karma is my boyfriend, karma is a god Karma is the breeze in my hair on the weekend Karma's a relaxing thought Aren't you envious that for you it's not? Sweet like honey, karma is a cat Purring in my lap 'cause it loves me Flexing like a Goddamn acrobat Me and karma vibe like that Karma is your ch?cks by the bounce (damn) Karma is the fire in ya house (grrah) And she 'bout to pop up unannounced (like) And she never leavin' you alone (damn) Watch it put your opps on the throne (yeah) Got you wavin' pretty white flags, feenin' for that cash Thinkin' it'll save ya, now you switchin' up your behaviour It's okay, baby, you ain't gotta worry, karma never gets lazy So, I keep my head up, my bread up, I won't let up (never) Promise that you'll never endeavor with nothin' lesser (ever, ever) I be draggin' that wagon, karma is a beauty Winning that pageant, yeah 'Cause karma is my boyfriend, karma is a god Karma is the breeze in my hair on the weekend Karma's a relaxing thought Aren't you envious that for you it's not? Sweet like honey, karma is a cat Purring in my lap 'cause it loves me Flexing like a Goddamn acrobat Me and karma vibe like that (grrah) Ask me what I learned from all those years Ask me what I earned from all those tears Ask me why so many fade, but I'm still here (I'm still, I'm still here) 'Cause karma is the thunder, rattling your ground Karma's on your scent like a bounty hunter And karma's gonna track you down Step by step, from town to town Sweet like justice, karma is a queen Karma takes all my friends to the summit (facts) Karma is the guy on the screen Comin' straight home to me 'Cause karma is my boyfriend, karma is a god Karma is the breeze in my hair on the weekend Karma's a  relaxing thought Aren't you envious that for you it's not? Sweet like honey, karma is a cat Purring in my lap 'cause it loves me Flexing like a Goddamn acrobat Me and karma vibe like that Karma is my boyfriend Karma is a god Karma is my bestie (mm) Karma's a relaxing thought Karma's gonna hold you down;Overcoming;spotify:track:4i6cwNY6oIUU2XZxPIw82Y;0.0623;0.615;0.616;0.0;0.579;-6.523;0.0622;89.977;0.0734
88;Lavender Haze;Dream Pop;Single;202395;No;No;0;685.569.376;2;Midnights (3am Edition);1;Pop;Compilation/Deluxe;22/10/2022;270.000;Meet me at midnight [Verse 1] Staring at the ceiling with you Oh, you don't ever say too much And you don't really read into My melancholia [Pre-Chorus] I been under scrutiny (Yeah, oh, yeah) You handle it beautifully (Yeah, oh, yeah) All this shit is new to me (Yeah, oh, yeah) [Chorus] I feel The lavender haze creeping up on me Surreal I'm damned if I do give a damn what people say No deal The 1950s shit they want from me I just wanna stay in that lavender haze [Verse 2] All they keep asking me (All they keep asking me) Is if I'm gonna be your bride The only kinda girl they see (Only kinda girl they see) Is a one-night or a wife [Pre-Chorus] I find it dizzying (Yeah, oh, yeah) They're bringing up my history (Yeah, oh, yeah) But you weren't even listening (Yeah, oh, yeah) [Chorus] I feel The lavender haze creepin' up on me Surreal I'm damned if I do give a damn what people say No deal The 1950s shit they want from me I just wanna stay in that lavender haze [Post-Chorus] That lavender haze [Bridge] Talk your talk and go viral I just need this love spiral Get it off your chest Get it off my desk (Get it off my desk) Talk your talk and go viral I just need this love spiral Get it off your chest Get it off my desk [Chorus] I feel (I feel) The lavender haze creeping up on me Surreal I'm damned if I do give a damn what people say No deal (No deal) The 1950s shit they want from me I just wanna stay in that lavender haze [Outro] Get it off your chest Get it off my desk That lavender haze I just wanna stay I just wanna stay in that lavender haze;Fall in love;spotify:track:4g2c7NoTWAOSYDy44l9nub;0.204;0.735;0.444;0.0012;0.17;-10.519;0.0684;97.038;0.0984
89;Maroon;Synth Pop;B-Side;218270;No;No;0;442.240.497;4;Midnights (3am Edition);2;Pop;Compilation/Deluxe;22/10/2022;270.000;"When the morning came We were cleaning incense off your vinyl shelf 'Cause we lost track of time again Laughing with my feet in your lap Like you were my closest friend ""How'd we end up on the floor, anyway?"" you say ""Your roommate's cheap-ass screw-top ros‚, that's how"" I see you every day now [Chorus] And I chose you The one I was dancing with In New York, no shoes Looked up at the sky and it was The burgundy on my t-shirt When you splashed your wine into me And how the blood rushed into my cheeks So scarlet, it was The mark th?y saw on my collarbone The rust that grew b?tween telephones The lips I used to call home So scarlet, it was maroon [Verse 2] When the silence came We were shaking, blind and hazy How the hell did we lose sight of us again? Sobbing with your head in your hands Ain't that the way shit always ends? You were standing hollow-eyed in the hallway Carnations you had thought were roses, that's us I feel you, no matter what The rubies that I gave up [Chorus] And I lost you The one I was dancing with In New York, no shoes Looked up at the sky and it was (Maroon) The burgundy on my t-shirt When you splashed your wine into me And how the blood rushed into my cheeks So scarlet, it was (Maroon) The mark they saw on my collarbone The rust that grew between telephones The lips I used to call home So scarlet, it was maroon [Bridge] And I wake with your memory over me That's a real fucking legacy, legacy (It was maroon) And I wake with your memory over me That's a real fucking legacy to leave [Chorus] The burgundy on my t-shirt When you splashed your wine into me And how the blood rushed into my cheeks So scarlet, it was maroon The mark they saw on my collarbone The rust that grew between telephones The lips I used to call home So scarlet, it was maroon [Outro] It was maroon It was maroon";Fall in love;spotify:track:199E1RRrVmVTQqBXih5qRC;0.0593;0.658;0.378;0.0;0.0976;-8.3;0.0379;108.034;0.0382
90;Anti-Hero;Pop Rock;Single;200690;No;No;0;1.497.861.842;1;Midnights (3am Edition);3;Pop;Compilation/Deluxe;22/10/2022;270.000;"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift, all of the people I've ghosted stand there in the room [Pre-Chorus] I should not be left to my own devices They come with prices and vices I end up in crisis (Tale as old as time) I wake up screaming from dreaming One day, I'll watch as you're leaving 'Cause you got tired of my scheming (For the last time) [Chorus] It's me, hi I'm the problem, it's me At teatime, everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero [Verse 2] Sometimes, I feel like everybody is a sexy baby And I'm a monster on the hill Too big to hang out, slowly lurching toward your favorite city Pierced through the heart, but never killed [Pre-Chorus] Did you hear my covert narcissism I disguise as altruism Like some kind of congressman? (A tale as old as time) I wake up screaming from dreaming One day, I'll watch as you're leaving And life will lose all its meaning (For the last time) [Chorus] It's me, hi I'm the problem, it's me (I'm the problem, it's me) At teatime, everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero [Bridge] I have this dream my daughter-in-law kills me for the money She thinks I left them in the will The family gathers 'round and reads it and then someone screams out ""She's laughing up at us from Hell"" [Breakdown] It's me, hi I'm the problem, it's me It's me, hi I'm the problem, it's me It's me, hi Everybody agrees, everybody agrees [Chorus] It's me, hi (Hi) I'm the problem, it's me (I'm the problem, it's me) At teatime (Teatime), everybody agrees (Everybody agrees) I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero";Insecurities;spotify:track:02Zkkf2zMkwRGQjZ7T4p8f;0.133;0.638;0.634;1.23e-06;0.152;-6.582;0.0457;96.953;0.519
91;Snow On The Beach (feat. Lana Del Rey);Synth Pop;B-Side;256124;Lana del Rey;No;0;418.499.855;3;Midnights (3am Edition);4;Pop;Compilation/Deluxe;22/10/2022;270.000;"One night, a few moons ago I saw flecks of what could've been lights But it might just have been you Passing by unbeknownst to me Life is emotionally abusive And time can't stop me quite like you did And my flight was awful, thanks for asking I'm unglued, thanks to you [Chorus: Taylor Swift, Taylor Swift & Lana Del Rey] And it's like snow at the beach Weird, but fuckin' beautiful Flying in a dream Stars by the pocketful You wanting me Tonight feels impossible But it's comin' down No sound, it's all around [Post-Chorus: Taylor Swift, Lana Del Rey] Like snow on the beach Like snow on the beach Like snow on the beach Like snow, ah [Verse 2: Taylor Swift, Taylor Swift & Lana Del Rey] This scene feels like what I once saw on a screen I searched ""aurora borealis green"" I've never seen someone lit from within Blurring out my periphery My smile is like I won a contest And to hide that would be so dishonest And it's fine to fake it 'til you make it 'Til you do, 'til it's true [Chorus: Taylor Swift & Lana Del Rey] Now it's like snow at the beach Weird, but fuckin' beautiful Flying in a dream Stars by the pocketful You wanting me Tonight feels impossible But it's comin' down No sound, it's all around [Post-Chorus: Taylor Swift, Taylor Swift & Lana Del Rey] Like snow on the beach Like snow on the beach Like snow on the beach Like snow, ah [Bridge: Taylor Swift, Taylor Swift & Lana Del Rey] I (I) can't (Can't) speak, afraid to jinx it I (I) don't (Don't) even dare to wish it But your eyes are flying saucers from another planet Now I'm all for you like Janet Can this be a real thing? Can it? [Chorus: Taylor Swift & Lana Del Rey, Taylor Swift] Are we falling like snow at the beach? (Snow at the beach) Weird, but fuckin' beautiful Flying in a dream (Flying in a dream) Stars by the pocketful You wanting me (You wanting me) Tonight feels impossible But it's comin' down No sound, it's all around [Post-Chorus: Taylor Swift, Lana Del Rey] Like snow on the beach (Snow on the beach) Like snow on the beach (Flying in a dream) Like snow on the beach (You wanting me) Like snow, ah But it's comin' down No sound, it's all around [Outro: Taylor Swift] Like snow on the beach (It's comin' down, it's comin' down) (It's comin' down, it's comin' down) Like snow on the beach (It's comin' down, it's comin' down) (It's comin' down, it's comin' down) (It's comin' down, it's comin' down) (It's comin' down, it's comin' down) (It's comin' down, it's comin' down) (It's comin' down, it's comin' down)";Fall in love;spotify:track:6ADDIJxxqzM9LMpm78yzQG;0.735;0.659;0.323;0.00321;0.116;-13.425;0.0436;110.007;0.154
92;You're On Your Own, Kid;Pop;B-Side;194206;No;No;0;558.461.539;5;Midnights (3am Edition);5;Pop;Compilation/Deluxe;22/10/2022;270.000;Summer went away, still, the yearning stays I play it cool with the best of them I wait patiently, he's gonna notice me It's okay, we're the best of friends Anyway I hear it in your voice, you're smoking with your boys I touch my phone as if it's your face I didn't choose this town, I dream of getting out There's just one who could make me stay All my days [Pre-Chorus] From sprinkler splashes to fireplace ashes I waited ages to see you there I search the party of better bodies Just to learn that you never cared [Chorus] You're on your own, kid You always have been [Verse 2] I see the great escape, so long, Daisy May I picked the petals, he loves me not Something different bloomed, writing in my room I play my songs in the parking lot I'll run away [Pre-Chorus] From sprinkler splashes to fireplace ashes I called a taxi to take me there I search the party of better bodies Just to learn that my dreams aren't rare [Chorus] You're on your own, kid You always have been [Instrumental Break] [Bridge] From sprinkler splashes to fireplace ashes I gave my blood, sweat, and tears for this I hosted parties and starved my body Like I'd be saved by a perfect kiss The jokes weren't funny, I took the money My friends from home don't know what to say I looked around in a blood-soaked gown And I saw something they can't take away 'Cause there were pages turned with the bridges burned Everything you lose is a step you take So, make the friendship bracelets, take the moment and taste it You've got no reason to be afraid [Chorus] You're on your own, kid Yeah, you can face this You're on your own, kid You always have been;Overcoming;spotify:track:7gVWKBcfIW93YxNBi3ApIE;0.416;0.694;0.38;8.47e-06;0.126;-10.307;0.0614;120.044;0.376
93;Midnight Rain;Dream Pop;B-Side;174782;No;No;0;631.931.332;4;Midnights (3am Edition);6;Pop;Compilation/Deluxe;22/10/2022;270.000;Rain He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight [Verse 1] My town was a wasteland Full of cages, full of fences Pageant queens and big pretenders But for some, it was paradise My boy was a montage A slow-motion, love potion Jumping off things in the ocean I broke his heart 'cause he was nice He was sunshine, I was midnight rain [Chorus] He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight [Verse 2] It came like a postcard Picture perfect shiny family Holiday peppermint candy But for him, it's every day So I peered through a window A deep portal, time travel All the love we unravel And the life I gave away 'Cause he was sunshine, I was midnight rain [Chorus] He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight rain He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight [Outro] I guess sometimes we all get Just what we wanted, just what we wanted And he never thinks of me Except for when I'm on TV I guess sometimes we all get Some kind of haunted, some kind of haunted And I never think of him Except on midnights like this (Midnights like this, midnights like this);Nostalgia;spotify:track:6Nl7KyvjkFncGsjB49SxLl;0.71;0.636;0.377;6.51e-05;0.115;-11.721;0.0708;139.966;0.23
94;Question...?;Pop;B-Side;210556;No;No;0;289.677.180;8;Midnights (3am Edition);7;Pop;Compilation/Deluxe;22/10/2022;270.000;I remember [Verse 1] Good girl, sad boy Big city, wrong choices We had one thing goin' on I swear that it was somethin' 'Cause I don't remember who I was Before you painted all my nights A color I've searched for since But one thing after another Fuckin' situations, circumstances Miscommunications, and I Have to say, by the way I just may like some explanations [Chorus] Can I ask you a question? Did you ever have someone kiss you in a crowded room And every single one of your friends was makin' fun of you But fifteen seconds later, th?y were clappin' too? Then what did you do? Did you l?ave her house in the middle of the night? Oh Did you wish you'd put up more of a fight, oh When she said it was too much? Do you wish you could still touch her? It's just a question [Verse 2] Half-moon eyes, bad surprise Did you realize out of time? She was on your mind with some dickhead guy That you saw that night But you were on somethin' It was one drink after another Fuckin' politics and gender roles And you're not sure and I don't know Got swept away in the gray I just may like to have a conversation [Chorus] Can I ask you a question? Did you ever have someone kiss you in a crowded room And every single one of your friends was makin' fun of you But fifteen seconds later, they were clappin' too? Then what did you do? Did you leave her house in the middle of the night? Oh Did you wish you'd put up more of a fight, oh When she said it was too much? Do you wish you could still touch her? It's just a question [Bridge] Does it feel like everything's just like Second best after that meteor strike? And what's that that I heard? That you're still with her? That's nice, I'm sure that's what's suitable And right, but tonight [Chorus] Can I ask you a question? (Can I ask you a question?) Did you ever have someone kiss you in a crowded room (In a crowded room) And every single one of your friends was makin' fun of you (Makin' fun of you) But fifteen seconds later, they were clappin' too? Then what did you do? (Do) Did you leave her house in the middle of the night? Oh Did you wish you'd put up more of a fight, oh (More of a fight) When she said it was too much? Do you wish you could still touch her? It's just a question;Betrayal/Anger;spotify:track:6C7OF1Jal7YkyjzyUG8vkK;0.226;0.751;0.502;0.0;0.297;-8.777;0.162;108.989;0.112
95;Vigilante Shit;Electropop;B-Side;164801;No;No;0;379.998.152;7;Midnights (3am Edition);8;Pop;Compilation/Deluxe;22/10/2022;270.000;Draw the cat eye sharp enough to kill a man You did some bad things, but I'm the worst of them Sometimes I wonder which one'll be your last lie They say looks can kill and I might try I don't dress for women I don't dress for men Lately, I've been dressin' for revenge [Chorus] I don't start shit, but I can tell you how it ends Don't get sad, get even So on the weekends I don't dress for friends Lately, I've been dressin' for revenge [Verse 2] She needed cold, hard proof, so I gave her some She had the envelope, where you think she got it from? Now she gets the house, gets the kids, gets the pride Picture me thick as thieves with your ex-wife And she looks so pretty Drivin' in your Benz Lately, she's been dressin' for revenge [Chorus] She don't start shit, but she can tell you how it ends Don't get sad, get even So on the weekends She don't dress for friends Lately, she's been dressing for revenge [Bridge] Ladies always rise above Ladies know what people want Someone sweet and kind and fun The lady simply had enough [Verse 3] While he was doin' lines and crossin' all of mine Someone told his white-collar crimes to the FBI And I don't dress for villains Or for innocents I'm on my vigilante shit again [Chorus] I don't start shit, but I can tell you how it ends Don't get sad, get even So on the weekends I don't dress for friends Lately, I've been dressin' for revenge;Betrayal/Anger;spotify:track:5yeuXkukVGuix3vmLu2BPJ;0.16;0.87;0.279;1.74e-05;0.121;-11.134;0.364;79.996;0.16
96;Bejeweled;Dance Pop;Single;194165;No;No;0;511.571.475;9;Midnights (3am Edition);9;Pop;Compilation/Deluxe;22/10/2022;270.000;"Baby love, I think I've been a little too kind Didn't notice you walkin' all over my peace of mind In the shoes I gave you as a present Puttin' someone first only works when you're in their top five And by the way, I'm goin' out tonight [Chorus] Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer And when I meet the band They ask,""Do you have a man?"" I could still say,""I don't remember"" Familiarity breeds contempt Don't put m? in the basement Wh?n I want the penthouse of your heart Diamonds in my eyes I polish up real, I polish up real nice [Post-Chorus] Nice [Verse 2] Baby boy, I think I've been too good of a girl (Too good of a girl) Did all the extra credit, then got graded on a curve I think it's time to teach some lessons I made you my world (Huh), have you heard? (Huh) I can reclaim the land And I miss you (Miss you), but I miss sparklin' (Nice) [Chorus] Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer And when I meet the band They ask,""Do you have a man?"" I could still say,""I don't remember"" Familiarity breeds contempt Don't put me in the basement When I want the penthouse of your heart Diamonds in my eyes I polish up real, I polish up real nice [Post-Chorus] Nice [Bridge] Sapphire tears on my face Sadness became my whole sky But some guy said my aura's moonstone Just 'cause he was high And we're dancin' all night And you can try to change my mind But you might have to wait in line What's a girl gonna do? A diamond's gotta shine [Chorus] Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer (Shimmer) And when I meet the band They ask,""Do you have a man?"" I could still say,""I don't remember"" Familiarity breeds contempt Don't put me in the basement When I want the penthouse of your heart Diamonds in my eyes I polish up real (Nice), I polish up real nice [Outro] And we're dancin' all night And you can try to change my mind But you might have to wait in line What's a girl gonna do? What's a girl gonna do? I polish up nice Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer";Overcoming;spotify:track:0jvo9CjnbR0lYUDTSNTMiu;0.0661;0.7;0.55;0.000102;0.091;-9.13;0.0653;164.003;0.412
